"_id","_labels","def_int","def_int_long","def_int_td","def_int_yds","fumbles_forced","fumbles_rec","fumbles_rec_td","fumbles_rec_yds","game_code","label","pass_defended","player","player_code","qb_hits","sacks","tackles_assists","tackles_combined","tackles_loss","tackles_solo","team","year","_start","_end","_type"
"207797",":stat_player_game_def","0","0","0","0","0","0","0","0","200801050pit","200801050pit_33","0","Carey Davis","D/DaviCa00","0","0.0","0","1","0","1","PIT","2007",,,
"207799",":stat_player_game_def","0","0","0","0","0","0","0","0","200801120nwe","200801120nwe_33","0","Kelley Washington","W/WashKe00","0","0.0","0","1","0","1","NWE","2007",,,
"207800",":stat_player_game_def","0","0","0","0","0","0","0","0","200801200nwe","200801200nwe_32","0","Heath Evans","E/EvanHe00","0","0.0","0","1","0","1","NWE","2007",,,
"207801",":stat_player_game_def","0","0","0","0","0","0","0","0","200801050pit","200801050pit_34","0","Clark Haggans","H/HaggCl20","0","0.0","0","1","0","1","PIT","2007",,,
"207802",":stat_player_game_def","","","","","0","0","0","0","200801120nwe","200801120nwe_34","0","Brandon Meriweather","M/MeriBr99","1","0.0","1","3","0","2","NWE","2007",,,
"207803",":stat_player_game_def","0","0","0","0","0","0","0","0","200801200nwe","200801200nwe_33","0","Kelley Washington","W/WashKe00","0","0.0","0","1","0","1","NWE","2007",,,
"207804",":stat_player_game_def","0","0","0","0","0","0","0","0","200801050pit","200801050pit_35","0","Chris Hoke","H/HokeCh20","0","0.0","1","1","0","0","PIT","2007",,,
"207805",":stat_player_game_def","","","","","0","0","0","0","200801120nwe","200801120nwe_35","0","Eric Alexander","A/AlexEr20","0","0.0","0","2","0","2","NWE","2007",,,
"207806",":stat_player_game_def","","","","","0","0","0","0","200801200nwe","200801200nwe_34","0","Brandon Meriweather","M/MeriBr99","0","0.0","4","5","0","1","NWE","2007",,,
"207807",":stat_player_game_def","0","0","0","0","0","0","0","0","200801050pit","200801050pit_36","0","Gary Russell","R/RussGa00","0","0.0","0","1","0","1","PIT","2007",,,
"207808",":stat_player_game_def","","","","","0","0","0","0","200801120nwe","200801120nwe_36","0","Jarvis Green","G/GreeJa21","1","0.0","0","2","0","2","NWE","2007",,,
"207809",":stat_player_game_def","","","","","0","0","0","0","200801200nwe","200801200nwe_35","0","Eric Alexander","A/AlexEr20","0","0.0","1","3","0","2","NWE","2007",,,
"207810",":stat_player_game_def","","","","","0","0","0","0","200801120nwe","200801120nwe_37","0","Ellis Hobbs","H/HobbEl20","0","0.0","0","1","0","1","NWE","2007",,,
"207811",":stat_player_game_def","","","","","0","0","0","0","200801050pit","200801050pit_37","0","Deshea Townsend","T/TownDe20","0","0.0","0","3","0","3","PIT","2007",,,
"207814",":stat_player_game_def","","","","","0","0","0","0","200801200nwe","200801200nwe_36","0","Jarvis Green","G/GreeJa21","0","0.0","0","3","0","3","NWE","2007",,,
"207821",":stat_player_game_def","","","","","0","0","0","0","200801050pit","200801050pit_38","0","Andre Frazier","F/FrazAn20","0","0.0","0","2","0","2","PIT","2007",,,
"207823",":stat_player_game_def","","","","","0","0","0","0","200801200nwe","200801200nwe_37","0","Randall Gay","G/GayxRa20","0","0.0","0","1","0","1","NWE","2007",,,
"207824",":stat_player_game_def","","","","","0","0","0","0","200801050pit","200801050pit_39","0","Greg Warren","W/WarrGr20","0","0.0","1","2","0","1","PIT","2007",,,
