"_id","_labels","fga","fgm","game_code","label","player","player_code","punt","punt_long","punt_yds","punt_yds_per_punt","team","xpa","xpm","year","_start","_end","_type"
"262672",":stat_player_game_kick","","","200312200min","200312200min_4","Leo Araguz","A/AragLe20","4","43","153","38.3","MIN","","","2003",,,
"262682",":stat_player_game_kick","1","1","200401110kan","200401110kan_1","Mike Vanderjagt","V/vandemik01","0","0","0","","IND","5","5","2003",,,
"262684",":stat_player_game_kick","2","1","200401110kan","200401110kan_2","Morten Andersen","A/andermor01","0","0","0","","KAN","4","4","2003",,,
"262695",":stat_player_game_kick","1","1","200401110phi","200401110phi_1","Ryan Longwell","L/longwrya01","0","0","0","","GNB","2","2","2003",,,
"262696",":stat_player_game_kick","","","200401110phi","200401110phi_2","Josh Bidwell","B/BidwJo20","7","55","293","41.9","GNB","","","2003",,,
"262697",":stat_player_game_kick","3","2","200401110phi","200401110phi_3","David Akers","A/akersdav01","0","0","0","","PHI","2","2","2003",,,
"262698",":stat_player_game_kick","","","200401110phi","200401110phi_4","Dirk Johnson","J/JohnDi20","7","49","302","43.1","PHI","","","2003",,,
"262711",":stat_player_game_kick","","","200401180nwe","200401180nwe_1","Mike Vanderjagt","V/vandemik01","0","0","0","","IND","2","2","2003",,,
"262712",":stat_player_game_kick","","","200401180nwe","200401180nwe_2","Hunter Smith","S/SmitHu21","1","55","55","55.0","IND","","","2003",,,
"262713",":stat_player_game_kick","5","5","200401180nwe","200401180nwe_3","Adam Vinatieri","V/vinatada01","0","0","0","","NWE","1","1","2003",,,
"262714",":stat_player_game_kick","","","200401180nwe","200401180nwe_4","Ken Walter","W/WaltKe20","2","44","74","37.0","NWE","","","2003",,,
"263057",":stat_player_game_kick","1","1","200309140crd","200309140crd_1","Josh Brown","B/brownjos01","0","","0","","SEA","5","5","2003",,,
"263060",":stat_player_game_kick","","","200309140crd","200309140crd_2","Tom Rouen","R/rouentom01","5","50","199","39.8","SEA","","","2003",,,
"263064",":stat_player_game_kick","","","200309140crd","200309140crd_3","Scott Player","P/PlaySc20","4","64","216","54.0","ARI","","","2003",,,
"263066",":stat_player_game_kick","1","","200309140crd","200309140crd_4","Bill Gramatica","G/gramabil01","0","","0","","ARI","","","2003",,,
"263071",":stat_player_game_kick","2","2","200309140kan","200309140kan_1","Jeff Reed","R/reedxjef01","0","","0","","PIT","2","2","2003",,,
"263075",":stat_player_game_kick","","","200309140kan","200309140kan_2","Josh Miller","M/MillJo25","5","54","216","43.2","PIT","","","2003",,,
"263077",":stat_player_game_kick","","","200309140kan","200309140kan_3","Morten Andersen","A/andermor01","0","","0","","KAN","6","5","2003",,,
"263081",":stat_player_game_kick","","","200309140kan","200309140kan_4","Jason Baker","B/BakeJa20","5","56","220","44.0","KAN","","","2003",,,
"263106",":stat_player_game_kick","2","2","200309040was","200309040was_1","Doug Brien","B/briendou01","0","","0","","NYJ","1","1","2003",,,
"263107",":stat_player_game_kick","2","1","200309140ram","200309140ram_1","Jeff Chandler","C/chandjef01","0","","0","","SFO","3","3","2003",,,
"263108",":stat_player_game_kick","","","200309040was","200309040was_2","Dan Stryzinski","S/StryDa20","6","40","187","31.2","NYJ","","","2003",,,
"263109",":stat_player_game_kick","","","200309140ram","200309140ram_2","Bill LaFleur","L/LaFlBi20","6","56","237","39.5","SFO","","","2003",,,
"263111",":stat_player_game_kick","3","3","200309040was","200309040was_3","John Hall","H/hallxjoh01","0","","0","","WAS","1","1","2003",,,
