"_id","_labels","game_code","kick_ret","kick_ret_long","kick_ret_td","kick_ret_yds","kick_ret_yds_per_ret","label","player","player_code","punt_ret","punt_ret_long","punt_ret_td","punt_ret_yds","punt_ret_yds_per_ret","team","_start","_end","_type"
"12454",":stat_player_game_return","201911240was","0","0","0","0","","201911240was_2","Marvin Hall","H/HallMa02","2","14","0","16","8.0","DET",,,
"12462",":stat_player_game_return","201911240was","2","25","0","43","21.5","201911240was_3","Ty Johnson","J/JohnTy02","0","0","0","0","","DET",,,
"12470",":stat_player_game_return","201911240was","0","0","0","0","","201911240was_4","Trey Quinn","Q/QuinTr00","2","0","0","0","0.0","WAS",,,
"12474",":stat_player_game_return","201911030pit","2","36","0","62","31.0","201911030pit_1","Parris Campbell","C/CampPa00","0","0","0","0","","IND",,,
"12478",":stat_player_game_return","201911240was","2","91","1","124","62.0","201911240was_5","Steven Sims","S/SimsSt00","0","0","0","0","","WAS",,,
"12487",":stat_player_game_return","201911030pit","2","31","0","55","27.5","201911030pit_2","Zach Pascal","P/PascZa00","0","0","0","0","","IND",,,
"12496",":stat_player_game_return","201911030pit","1","4","0","4","4.0","201911030pit_3","Chester Rogers","R/RogeCh02","0","0","0","0","","IND",,,
"12503",":stat_player_game_return","201911030pit","2","22","0","40","20.0","201911030pit_4","Ryan Switzer","S/SwitRy00","1","0","0","0","0.0","PIT",,,
"12531",":stat_player_game_return","201910170den","0","0","0","0","","201910170den_1","De'Anthony Thomas","T/ThomDe05","3","8","0","14","4.7","KAN",,,
"12536",":stat_player_game_return","201910170den","0","0","0","0","","201910170den_2","Mecole Hardman","H/HardMe00","1","36","0","36","36.0","KAN",,,
"12538",":stat_player_game_return","201911100pit","4","30","0","94","23.5","201911100pit_1","Jojo Natson","N/NatsJo00","3","18","0","21","7.0","LAR",,,
"12542",":stat_player_game_return","201910170den","0","0","0","0","","201910170den_3","Diontae Spencer","S/SpenDi00","4","6","0","12","3.0","DEN",,,
"12544",":stat_player_game_return","201911100pit","0","0","0","0","","201911100pit_2","Diontae Johnson","J/JohnDi01","3","14","0","22","7.3","PIT",,,
"12551",":stat_player_game_return","201911100pit","1","20","0","20","20.0","201911100pit_3","Ryan Switzer","S/SwitRy00","1","-1","0","-1","-1.0","PIT",,,
"12598",":stat_player_game_return","201910200atl","0","0","0","0","","201910200atl_1","Jojo Natson","N/NatsJo00","3","35","0","33","11.0","LAR",,,
"12606",":stat_player_game_return","201910200atl","0","0","0","0","","201910200atl_2","Mike Thomas","T/ThomMi04","1","3","0","3","3.0","LAR",,,
"12613",":stat_player_game_return","201910200atl","0","0","0","0","","201910200atl_3","Russell Gage","G/GageRu00","1","-6","0","-6","-6.0","ATL",,,
"12622",":stat_player_game_return","201910200atl","2","33","0","65","32.5","201910200atl_4","Kenjon Barner","B/BarnKe00","0","0","0","0","","ATL",,,
"13520",":stat_player_game_return","201911210htx","2","18","0","36","18.0","201911210htx_1","Nyheim Hines","H/HineNy00","0","0","0","0","","IND",,,
"13529",":stat_player_game_return","201911210htx","1","14","0","14","14.0","201911210htx_2","Marcus Johnson","J/JohnMa07","0","0","0","0","","IND",,,
"13534",":stat_player_game_return","201911210htx","0","0","0","0","","201911210htx_3","DeAndre Carter","C/CartDe02","2","13","0","23","11.5","HOU",,,
"13570",":stat_player_game_return","201912010den","0","0","0","0","","201912010den_1","Troymaine Pope","P/PopeTr00","1","0","0","0","0.0","LAC",,,
"13575",":stat_player_game_return","201912010den","2","30","0","56","28.0","201912010den_2","Diontae Spencer","S/SpenDi00","0","0","0","0","","DEN",,,
"13652",":stat_player_game_return","201911170clt","0","0","0","0","","201911170clt_1","Dede Westbrook","W/WestDe00","1","0","0","0","0.0","JAX",,,
"13661",":stat_player_game_return","201911170clt","1","23","0","23","23.0","201911170clt_2","Michael Walker","W/WalkMi00","0","0","0","0","","JAX",,,
"13662",":stat_player_game_return","201910200gnb","2","34","0","49","24.5","201910200gnb_1","Trevor Davis","D/DaviTr03","2","32","0","47","23.5","OAK",,,
"13663",":stat_player_game_return","201911070rai","0","0","0","0","","201911070rai_1","Desmond King","K/KingDe01","3","11","0","19","6.3","LAC",,,
"13668",":stat_player_game_return","201911240oti","0","0","0","0","","201911240oti_1","Dede Westbrook","W/WestDe00","2","-1","0","-5","-2.5","JAX",,,
"13669",":stat_player_game_return","201911030jax","1","19","0","19","19.0","201911030jax_1","DeAndre Carter","C/CartDe02","0","0","0","0","","HOU",,,
"13670",":stat_player_game_return","201910200gnb","4","20","0","60","15.0","201910200gnb_2","Darrius Shepherd ","S/ShepDa00","0","0","0","0","","GNB",,,
"13672",":stat_player_game_return","201911170clt","1","10","0","10","10.0","201911170clt_3","Chester Rogers","R/RogeCh02","2","8","0","9","4.5","IND",,,
"13673",":stat_player_game_return","201911070rai","3","21","0","52","17.3","201911070rai_2","Troymaine Pope","P/PopeTr00","0","0","0","0","","LAC",,,
"13674",":stat_player_game_return","201911240oti","7","30","0","157","22.4","201911240oti_2","Michael Walker","W/WalkMi00","0","0","0","0","","JAX",,,
"13677",":stat_player_game_return","201911170clt","0","0","0","0","","201911170clt_4","Bobby Okereke","O/OkerBo00","1","0","0","0","0.0","IND",,,
"13679",":stat_player_game_return","201911030jax","2","22","0","40","20.0","201911030jax_2","Michael Walker","W/WalkMi00","2","7","0","8","4.0","JAX",,,
"13681",":stat_player_game_return","201911070rai","5","23","0","94","18.8","201911070rai_3","Trevor Davis","D/DaviTr03","2","10","0","11","5.5","OAK",,,
"13684",":stat_player_game_return","201911240oti","0","0","0","0","","201911240oti_3","Adam Humphries","H/HumpAd00","2","21","0","22","11.0","TEN",,,
"13686",":stat_player_game_return","201911170clt","2","25","0","44","22.0","201911170clt_5","Nyheim Hines","H/HineNy00","0","0","0","0","","IND",,,
"13692",":stat_player_game_return","201911240oti","1","0","0","0","0.0","201911240oti_4","Adoree' Jackson","J/JackAd00","0","0","0","0","","TEN",,,
"13702",":stat_player_game_return","201911240oti","1","34","0","34","34.0","201911240oti_5","Kalif Raymond","R/RaymKa00","0","0","0","0","","TEN",,,
"13704",":stat_player_game_return","201911100oti","4","30","0","90","22.5","201911100oti_1","Mecole Hardman","H/HardMe00","1","5","0","5","5.0","KAN",,,
"13714",":stat_player_game_return","201911100oti","3","19","0","46","15.3","201911100oti_2","Kalif Raymond","R/RaymKa00","0","0","0","0","","TEN",,,
"13735",":stat_player_game_return","201911240cle","3","21","0","57","19.0","201911240cle_1","Marcus Sherels","S/SherMa20","1","0","0","0","0.0","MIA",,,
"13741",":stat_player_game_return","201911240cle","1","25","0","25","25.0","201911240cle_2","Jakeem Grant","G/GranJa00","0","0","0","0","","MIA",,,
"13751",":stat_player_game_return","201911240cle","0","0","0","0","","201911240cle_3","Dontrell Hilliard","H/HillDo00","2","6","0","10","5.0","CLE",,,
"13760",":stat_player_game_return","201911240cle","0","0","0","0","","201911240cle_4","D'Ernest Johnson","J/JohnDE04","1","0","0","0","0.0","CLE",,,
"13772",":stat_player_game_return","201911240cle","1","3","0","3","3.0","201911240cle_5","Stephen Carlson","C/CarlSt00","0","0","0","0","","CLE",,,
"13782",":stat_player_game_return","201911180sdg","0","0","0","0","","201911180sdg_1","Mecole Hardman","H/HardMe00","2","15","0","22","11.0","KAN",,,
"13783",":stat_player_game_return","201911240cle","1","17","0","17","17.0","201911240cle_6","Tavierre Thomas","T/ThomTa01","0","0","0","0","","CLE",,,
"13791",":stat_player_game_return","201911180sdg","1","25","0","25","25.0","201911180sdg_2","Desmond King","K/KingDe01","2","0","0","0","0.0","LAC",,,
"13800",":stat_player_game_return","201911180sdg","1","19","0","19","19.0","201911180sdg_3","Troymaine Pope","P/PopeTr00","0","0","0","0","","LAC",,,
"14797",":stat_player_game_return","201912080tam","0","0","0","0","","201912080tam_1","Nyheim Hines","H/HineNy00","2","19","0","34","17.0","IND",,,
"14801",":stat_player_game_return","201910270kan","3","19","0","48","16.0","201910270kan_1","Chandon Sullivan","S/SullCh00","0","0","0","0","","GNB",,,
"14809",":stat_player_game_return","201910270kan","3","26","0","68","22.7","201910270kan_2","Mecole Hardman","H/HardMe00","1","18","0","18","18.0","KAN",,,
"14816",":stat_player_game_return","201912080tam","0","0","0","0","","201912080tam_2","Justin Watson","W/WatsJu01","2","7","0","3","1.5","TAM",,,
"14817",":stat_player_game_return","201910270kan","1","27","0","27","27.0","201910270kan_3","Darwin Thompson","T/ThomDa06","0","0","0","0","","KAN",,,
"14824",":stat_player_game_return","201912080tam","1","26","0","26","26.0","201912080tam_3","Dare Ogunbowale","O/OgunDa00","0","0","0","0","","TAM",,,
