"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","_start","_end","_type"
"5638",":stat_player_game_def_adv","0","46","3","37.5%","1","50","0","99.0","8","13.9","4","16.7","6.3","201911240nwe","201911240nwe_3","Byron Jones","J/JoneBy00","0","0","0","0.0","3","0","0.0%","DAL",,,
"5639",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","201911240buf","201911240buf_8","Derek Wolfe","W/WolfDe00","1","0","1","0.0","2","1","33.3%","DEN",,,
"5640",":stat_player_game_def_adv","4","","0","","","","0","","0","","","","","201911170mia","201911170mia_10","Lorenzo Alexander","A/AlexLo99","4","2","2","0.0","1","0","0.0%","BUF",,,
"5641",":stat_player_game_def_adv","0","50","6","75.0%","0","64","0","97.9","8","6.8","14","10.7","8.0","201911280dal","201911280dal_1","Levi Wallace","W/WallLe00","0","0","0","0.0","6","0","0.0%","BUF",,,
"5643",":stat_player_game_def_adv","1","30","2","33.3%","0","31","1","11.8","6","11.3","1","15.5","5.2","201911250ram","201911250ram_4","Jimmy Smith","S/SmitJi03","1","0","0","1.0","3","0","0.0%","BAL",,,
"5644",":stat_player_game_def_adv","13","1","1","100.0%","0","37","0","118.7","1","1.0","36","37.0","37.0","201911170sfo","201911170sfo_9","Terrell Suggs","S/SuggTe99","1","1","0","0.0","3","1","25.0%","ARI",,,
"5645",":stat_player_game_def_adv","0","44","2","100.0%","0","52","0","118.7","2","22.0","8","26.0","26.0","201912010pit","201912010pit_4","Denzel Ward","W/WardDe02","0","0","0","0.0","3","1","25.0%","CLE",,,
"5646",":stat_player_game_def_adv","0","45","2","66.7%","0","47","0","109.7","3","17.0","2","23.5","15.7","201911280det","201911280det_5","Kyle Fuller","F/FullKy00","0","0","0","0.0","7","2","22.2%","CHI",,,
"5648",":stat_player_game_def_adv","4","","0","","","","0","","0","","","","","201911240buf","201911240buf_9","Jeremiah Attaochu","A/AttaJe00","0","0","0","0.0","5","1","16.7%","DEN",,,
"5650",":stat_player_game_def_adv","5","11","2","66.7%","0","11","0","72.9","3","4.0","0","5.5","3.7","201911240nwe","201911240nwe_4","Jaylon Smith","S/SmitJa05","0","0","0","0.0","8","0","0.0%","DAL",,,
