"_id","_labels","blitzes","def_air_yds","def_cmp","def_cmp_perc","def_cmp_td","def_cmp_yds","def_int","def_pass_rating","def_targets","def_tgt_yds_per_att","def_yac","def_yds_per_cmp","def_yds_per_target","game_code","label","player","player_code","pressures","qb_hurry","qb_knockdown","sacks","tackles_combined","tackles_missed","tackles_missed_pct","team","year","_start","_end","_type"
"144385",":stat_player_game_def_adv","1","48","4","66.7%","0","67","1","64.6","6","8.8","19","16.8","11.2","202010250den","202010250den_3","Daniel Sorensen","S/SoreDa01","0","0","0","0.0","9","0","0.0%","KAN","2020",,,
"144386",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202011080sdg","202011080sdg_14","Maliek Collins","C/CollMa00","1","1","0","0.0","3","0","0.0%","LVR","2020",,,
"144387",":stat_player_game_def_adv","0","74","5","71.4%","0","107","0","113.7","7","13.4","33","21.4","15.3","202010110cle","202010110cle_14","Andrew Sendejo","S/SendAn00","0","0","0","0.0","4","1","20.0%","CLE","2020",,,
"144388",":stat_player_game_def_adv","2","24","3","100.0%","0","41","0","118.7","3","8.0","17","13.7","13.7","202011050sfo","202011050sfo_19","Jamar Taylor","T/TaylJa01","1","1","0","0.0","5","0","0.0%","SFO","2020",,,
"144390",":stat_player_game_def_adv","0","26","3","75.0%","1","26","0","131.2","4","8.0","0","8.7","6.5","202011010mia","202011010mia_2","David Long","L/LongDa02","0","0","0","0.0","3","0","0.0%","LAR","2020",,,
"144391",":stat_player_game_def_adv","2","6","3","60.0%","0","22","0","70.4","5","5.6","16","7.3","4.4","202010250den","202010250den_4","Rashad Fenton","F/FentRa00","0","0","0","0.0","2","0","0.0%","KAN","2020",,,
"144392",":stat_player_game_def_adv","1","","0","","","","0","","0","","","","","202011080sdg","202011080sdg_15","Jeff Heath","H/HeatJe00","0","0","0","0.0","2","0","0.0%","LVR","2020",,,
"144393",":stat_player_game_def_adv","1","12","2","100.0%","0","19","0","106.2","2","6.0","7","9.5","9.5","202011080min","202011080min_16","Troy Dye","D/DyexTr00","0","0","0","0.0","5","0","0.0%","MIN","2020",,,
"144395",":stat_player_game_def_adv","0","48","3","75.0%","1","53","0","156.2","4","18.0","5","17.7","13.3","202011050sfo","202011050sfo_20","Emmanuel Moseley","M/MoseEm00","0","0","0","0.0","5","0","0.0%","SFO","2020",,,
"144396",":stat_player_game_def_adv","0","1","4","100.0%","0","47","0","115.6","4","0.3","46","11.8","11.8","202010110cle","202010110cle_15","B.J. Goodson","G/GoodB.00","0","0","0","0.0","9","0","0.0%","CLE","2020",,,
"144397",":stat_player_game_def_adv","0","4","2","66.7%","0","15","0","78.5","3","2.0","11","7.5","5.0","202011010mia","202011010mia_3","John Johnson","J/JohnJo10","0","0","0","0.0","2","0","0.0%","LAR","2020",,,
"144398",":stat_player_game_def_adv","0","14","3","60.0%","0","23","1","31.7","5","8.2","9","7.7","4.6","202010250den","202010250den_5","Tyrann Mathieu","M/MathTy00","0","0","0","0.0","5","2","28.6%","KAN","2020",,,
"144399",":stat_player_game_def_adv","0","72","8","72.7%","1","89","0","126.7","11","11.6","17","11.1","8.1","202011010den","202011010den_14","A.J. Bouye","B/BouyA.00","0","0","0","0.0","6","0","0.0%","DEN","2020",,,
"144400",":stat_player_game_def_adv","1","7","5","83.3%","1","33","0","129.2","6","6.7","26","6.6","5.5","202011080sdg","202011080sdg_16","Rayshawn Jenkins","J/JenkRa00","0","0","0","0.0","6","2","25.0%","LAC","2020",,,
"144401",":stat_player_game_def_adv","2","3","1","50.0%","0","19","1","43.7","2","4.0","16","19.0","9.5","202011080min","202011080min_17","Eric Kendricks","K/KendEr00","0","0","0","0.0","6","0","0.0%","MIN","2020",,,
"144403",":stat_player_game_def_adv","4","11","3","50.0%","0","25","0","61.1","6","3.2","14","8.3","4.2","202011050sfo","202011050sfo_21","Dre Greenlaw","G/GreeDr00","0","0","0","0.0","8","1","11.1%","SFO","2020",,,
"144404",":stat_player_game_def_adv","0","49","4","66.7%","0","49","0","91.7","6","14.5","0","12.3","8.2","202010110cle","202010110cle_16","Denzel Ward","W/WardDe02","0","0","0","0.0","5","0","0.0%","CLE","2020",,,
"144405",":stat_player_game_def_adv","3","5","2","66.7%","0","20","0","85.4","3","1.0","15","10.0","6.7","202011010mia","202011010mia_4","Troy Hill","H/HillTr01","0","0","0","0.0","5","0","0.0%","LAR","2020",,,
"144406",":stat_player_game_def_adv","1","5","1","50.0%","0","5","0","56.2","2","8.5","0","5.0","2.5","202010250den","202010250den_6","Anthony Hitchens","H/HitcAn00","1","0","1","0.0","4","1","20.0%","KAN","2020",,,
"144408",":stat_player_game_def_adv","0","12","4","66.7%","0","25","0","75.0","6","4.5","13","6.3","4.2","202011080sdg","202011080sdg_17","Michael Davis","D/DaviMi03","0","0","0","0.0","4","0","0.0%","LAC","2020",,,
"144409",":stat_player_game_def_adv","2","11","1","100.0%","0","14","0","118.7","1","11.0","3","14.0","14.0","202011080min","202011080min_18","Anthony Harris","H/HarrAn01","0","0","0","0.0","5","0","0.0%","MIN","2020",,,
"144410",":stat_player_game_def_adv","0","-3","1","100.0%","0","7","0","95.8","1","-3.0","10","7.0","7.0","202011010mia","202011010mia_5","Aaron Donald","D/DonaAa00","2","0","1","1.0","4","0","0.0%","LAR","2020",,,
"144411",":stat_player_game_def_adv","0","12","3","100.0%","0","19","0","93.1","3","4.0","7","6.3","6.3","202010110cle","202010110cle_17","Kevin Johnson","J/JohnKe04","0","0","0","0.0","6","0","0.0%","CLE","2020",,,
"144412",":stat_player_game_def_adv","1","8","3","100.0%","0","42","0","118.7","3","2.7","34","14.0","14.0","202011050sfo","202011050sfo_22","Jimmie Ward","W/WardJi01","0","0","0","0.0","4","0","0.0%","SFO","2020",,,
"144414",":stat_player_game_def_adv","0","6","1","50.0%","0","13","0","70.8","2","12.5","7","13.0","6.5","202010250den","202010250den_7","Bashaud Breeland","B/BreeBa00","0","0","0","0.0","3","0","0.0%","KAN","2020",,,
"144415",":stat_player_game_def_adv","9","1","6","66.7%","0","34","0","73.4","9","1.0","33","5.7","3.8","202011010den","202011010den_15","Alexander Johnson","J/JohnAl01","0","0","0","0.0","10","0","0.0%","DEN","2020",,,
"144416",":stat_player_game_def_adv","1","97","2","40.0%","1","98","0","127.1","5","30.6","1","49.0","19.6","202011080sdg","202011080sdg_18","Casey Hayward","H/HaywCa00","0","0","0","0.0","1","0","0.0%","LAC","2020",,,
"144417",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202011080min","202011080min_19","Shamar Stephen","S/StepSh00","2","0","1","0.5","2","0","0.0%","MIN","2020",,,
"144419",":stat_player_game_def_adv","3","3","1","25.0%","0","8","0","39.6","4","-0.3","5","8.0","2.0","202011010mia","202011010mia_6","Micah Kiser","K/KiseMi00","0","0","0","0.0","6","0","0.0%","LAR","2020",,,
"144420",":stat_player_game_def_adv","3","3","2","50.0%","0","5","0","56.2","4","5.5","2","2.5","1.3","202010110cle","202010110cle_18","Malcolm Smith","S/SmitMa02","0","0","0","0.0","5","0","0.0%","CLE","2020",,,
"144421",":stat_player_game_def_adv","2","-5","5","83.3%","0","22","0","81.9","6","-2.0","27","4.4","3.7","202011010den","202011010den_16","Josey Jewell","J/JeweJo00","0","0","0","0.0","10","0","0.0%","DEN","2020",,,
"144422",":stat_player_game_def_adv","1","-9","1","100.0%","0","5","0","87.5","1","-9.0","14","5.0","5.0","202010250den","202010250den_8","Tedric Thompson","T/ThomTe00","0","0","0","0.0","1","1","50.0%","KAN","2020",,,
"144423",":stat_player_game_def_adv","4","-3","3","75.0%","0","1","0","77.1","4","-0.8","4","0.3","0.3","202011050sfo","202011050sfo_23","Fred Warner","W/WarnFr00","0","0","0","0.0","13","0","0.0%","SFO","2020",,,
"144424",":stat_player_game_def_adv","1","-4","1","25.0%","0","6","0","39.6","4","14.3","10","6.0","1.5","202011080sdg","202011080sdg_19","Kyzir White","W/WhitKy00","0","0","0","0.0","5","3","37.5%","LAC","2020",,,
"144426",":stat_player_game_def_adv","0","","0","","","","0","","0","","","","","202011080min","202011080min_20","Hercules Mata'afa","M/MataHe00","2","1","0","0.5","1","0","0.0%","MIN","2020",,,
"144427",":stat_player_game_def_adv","6","","0","","","","0","","0","","","","","202011010mia","202011010mia_7","Leonard Floyd","F/FloyLe00","1","0","1","0.0","0","1","100.0%","LAR","2020",,,
"144428",":stat_player_game_def_adv","0","3","1","33.3%","0","11","1","5.6","3","2.0","8","11.0","3.7","202010110cle","202010110cle_19","Ronnie Harrison","H/HarrRo02","0","0","0","0.0","2","0","0.0%","CLE","2020",,,
"144429",":stat_player_game_def_adv","1","4","1","50.0%","0","8","0","60.4","2","4.0","4","8.0","4.0","202010250den","202010250den_9","Willie Gay Jr.","G/GayJWi00","0","0","0","0.0","4","0","0.0%","KAN","2020",,,
"144430",":stat_player_game_def_adv","1","51","3","100.0%","0","63","0","118.7","3","17.0","12","21.0","21.0","202011010den","202011010den_17","Michael Ojemudia","O/OjemMi00","0","0","0","0.0","4","3","42.9%","DEN","2020",,,
